date	produccion	consumo
2026-03-13	8.20	5.10
2026-03-14	7.50	6.30
2026-03-15	9.10	4.80
2026-03-16	6.40	7.20
2026-03-17	10.30	5.50
2026-03-18	11.00	6.10
2026-03-19	9.75	5.90
2026-03-20	8.50	5.20
2026-03-21	7.80	6.00
2026-03-22	9.30	4.90
2026-03-23	6.70	7.50
2026-03-24	10.50	5.80
2026-03-25	11.20	6.30
2026-03-26	9.90	5.70
2026-03-27	8.10	5.40
2026-03-28	7.60	6.20
2026-03-29	9.40	4.70
2026-03-30	6.50	7.80
2026-03-31	10.80	5.60
2026-04-01	11.30	6.40
2026-04-02	9.60	5.50
2026-04-03	8.30	5.30
2026-04-04	7.90	6.10
2026-04-05	9.50	4.80
2026-04-06	6.80	7.60
2026-04-07	10.60	5.70
2026-04-08	11.40	6.50
2026-04-09	9.70	5.60
2026-04-10	8.40	5.20
2026-04-11	7.70	6.30
2026-04-12	9.20	4.90
2026-04-13	6.60	7.70
2026-04-14	10.90	5.90
2026-04-15	11.50	6.60
2026-04-16	9.80	5.80
2026-04-17	8.60	5.40
2026-04-18	8.00	6.50
2026-04-19	8.20	5.10
2026-04-20	7.50	6.30
2026-04-21	9.10	4.80
2026-04-22	6.40	7.20
2026-04-23	10.30	5.50
2026-04-24	11.00	6.10
2026-04-25	9.75	5.90
2026-04-26	8.30	5.40
2026-04-27	7.90	6.20
2026-04-28	9.20	4.90
2026-04-29	6.80	7.10
2026-04-30	10.40	5.70
2026-05-01	11.10	6.20
2026-05-02	9.50	5.80
2026-05-03	8.70	5.30
2026-05-04	7.60	6.40
2026-05-05	9.00	4.60
2026-05-06	6.90	7.30
2026-05-07	10.20	5.60
2026-05-08	11.30	6.40
2026-05-09	9.40	5.90
2026-05-10	15.0    5.0
2026-05-11	4.0     12.0
2026-05-12	15.0    12.0
2026-05-13	11.0    0.9
